id,text,complaint,demands,praise,questions
500796286320,"Wow! From what I've observed from this documentary the national treasure of Armenia must be its gorgeous women!! They are so damn beautiful!! One of my kids married a girl from this part of the world. She's not only beautiful but has a heart of purest gold, gave me two lovely grandsons, very devout and smart. My kid did a damn good 'job' marrying such a treasure. Greetings from Chicago, USA!",0.0,0.0,1.0,0.0
838906157157,काय रे dungnat मेंदु असणाऱ्या आंधभक्ता तुझा आईची pucchi ka fadfadu राहिली मी admin la bolo ना कट्टर मराठावादी आहे भाऊ आमच्या आरक्षणाची मज्जा घेणाऱ्या bjp la आम्ही व्होट देत nastoy हिंदूत्व cya nava Khali marathyna chutiya Banu nka amcya amcya bapa mule Hindu ahat Ani hindustan pan ahe #एक मराठा लाख मराठे,1.0,0.0,0.0,0.0
1011026626743,अजित दादा आणि प्रफुल्ल पटेल यांनी केलेल्या कामाचे पावती जनता मतदानातून देणार,0.0,0.0,1.0,0.0
1068853499446,"She's saying that ""doing her own research"" led to a different conclusion than the prosecution, the judge and the jury in his court case. To be fair though, she probably did more research than the SCOTUS justices who somehow argued that the founding fathers - people who outright stated America should never have kings - actually meant the president should be a king when they wrote the constitution.",1.0,0.0,0.0,0.0
502772748919,"That is not Karen, that is perfectly reasonable. She lost between 2000-3000 dollars on tickets and shuttle for her group because she could not use the tickets she bought and paid for. That is certainly not a ""she""-problem but an allegiant problem. She bought a valid ticket, if she cannot use it then it is the airline's problem, because she paid them for that. Easy as that.",1.0,0.0,0.0,0.0
644381328887,सुंदर आणि मनमोहक असे दागिने कुठेही भेटत नाहीत महाराष्ट्र मध्ये असे एकमेव ठिकाण म्हणजे गोपिका ज्वेलरीचे दागिने आहेत त्यासाठी मी दागिने बनवणाऱ्या खारागिरांचे मनापासून धन्यवाद देते इतके सुंदर दागिने बनवत असतात आणि सुंदर डिझाईन बनवतात त्यांच्या कार्याला दाद दिली पाहिजे,0.0,0.0,1.0,0.0
994277413830,"As a dairy farmer. I tend to eat my own cows. And not a one has ever seen a blade of grass. Though i have had grass fed beef. To me it lacks the consistency of an animal that is on a controlled diet. Our local feed lots like that as restaurants have a love for ""consistency"". I find that people that are more a fan of Grass feed Beef also like deer, sheep and other gamey meets. I am not a fan.",1.0,0.0,0.0,0.0
597841641321,आणि सर्वात कमी एकर मध्ये वांगी च जास्त उत्पन्न घेणारी टाकलं तर सुप्रियाताई सुळे च नाव येत,0.0,0.0,1.0,0.0
797820771897,"गेल्या ३५ वर्षे राजकारणात आहात मग त्या वेळी पासून विकास केलाच नाही का? जर केला असेल तर मग आत्ता सकाळी ७वाजल्या पासून कुणाचा बॅक लोग विकास करत आहात,आणि विकास करत असाल तर जनतेने तुम्हाला काही जबरदस्ती केली नव्हती,आपण जसा आपलं विकास केला तसा जनतेचा का झाला नाही,मला पडलेले कोडे",0.0,0.0,0.0,1.0
498065875448,"Missha Aqua Sun Gel was the HG for my oily-combo skin year round. I went through 15+ bottles but it's been reformulated and I hate the new formula. So, back on the hunt for a very similar formula. I loved the matte, non-sticky, non-greasy, lightweight formula of the Aqua Sun Gel. The Eucerine Oil Control (European version) is a favorite, but I still wish I could get the Missha Aqua Sun Gel. 😭",1.0,0.0,0.0,0.0
965073181824,बिल्कुल खड़ा उतरा है इसमें सब कुछ को देखा गया है हमारे बिहार को बहुत अच्छा फाइनेंस बजट मिला है बहुत सारा इंफ्रास्ट्रक्चर पर काम करने के लिए दिया देखा गया है जॉब अपॉर्चुनिटी के लिए लड़कों को एक करोड़ से ज्यादा बच्चों को स्किलफुल किए करने के लिए बजट लाया गया है आई एम वेरी हैप्पी विददिस बजट,0.0,0.0,1.0,0.0
981899132842,"दिवाळीच्या आजपासून ते भाऊबीज पर्यंत, साजरा होत असलेल्या आनंदमयी,उत्साही मंगळमय पर्वानिमित्त आपणास व आपल्या परिवारास मन:पुर्वक हार्दिक शुभेच्छा! हे नववर्ष आपणास सुखाच,समृद्धीच, आनंदाचं,भरभराटीच,आरोग्यदायी जावो ह्या मनोकामना! 🪔💐🙏 Happy Diwali 2022 🪔💐🙏 आपला राहुल अंभुरे पाटील (श्रीष्टीकर)",0.0,0.0,1.0,0.0
259796557232,Tata has best class platform for car. Even after people running behind mid size SUV tigor and Tiago doing good number in sales. That's because of safety with good ground clearance. But their engine and reliability is big question no one will waste their hard earned money on non reliable products. Tata needs bring the refined petrol engine with good service network. Let see how the game is changing,1.0,0.0,0.0,0.0
339874867623,शिवरायांचे फक्त निवडणुकीच्या वेळी गुणगान करतात आमदार इतर वेळी त्यांचं वागणं पूर्ण विपरीत असतं,1.0,0.0,0.0,0.0
368811343090,Joey Naham Tesla knows that. They made the concept CyberTruck mirror-less because this is how they want to make it before having to be be regulated by laws. They’re gloating about their sales because it’s the smartest move. They were getting bad press about their cracked windows and the design. They needed the mass to know that people are buying the product because others think it’s cool.,1.0,0.0,0.0,0.0
